pathway	number_of_metabolites_in_pathway(m)	significant_metabolites_in_pathway(x)	total_number_of_metabolites(n)	detected_significant_metabolites(k)	list_of_metabolites
[Cofactors and Vitamins] Nicotinate and Nicotinamide Metabolism	8	1	1061	65	1-methylnicotinamide
[Amino Acid] Tryptophan Metabolism	25	3	1061	65	5-hydroxyindoleacetate@indoleacetate@indoleacetoylcarnitine*
[Amino Acid] Methionine, Cysteine, SAM and Taurine Metabolism	24	1	1061	65	N-formylmethionine
[Amino Acid] Creatine Metabolism	3	1	1061	65	creatinine
[Lipid] Secondary Bile Acid Metabolism	21	1	1061	65	deoxycholate
[Amino Acid] Urea cycle; Arginine and Proline Metabolism	22	3	1061	65	citrulline@N-acetylarginine@2-oxoarginine*
[Nucleotide] Pyrimidine Metabolism, Uracil containing	11	2	1061	65	2'-deoxyuridine@3-(3-amino-3-carboxypropyl)uridine*
[Amino Acid] Leucine, Isoleucine and Valine Metabolism	33	2	1061	65	N-acetylvaline@2,3-dihydroxy-2-methylbutyrate
[Nucleotide] Pyrimidine Metabolism, Thymine containing	2	1	1061	65	3-aminoisobutyrate
[Peptide] Gamma-glutamyl Amino Acid	17	1	1061	65	gamma-glutamylhistidine
[Nucleotide] Purine Metabolism, Adenine containing	9	1	1061	65	N1-methyladenosine
[Lipid] Carnitine Metabolism	2	2	1061	65	carnitine@deoxycarnitine
[Xenobiotics] Benzoate Metabolism	29	2	1061	65	4-acetylphenol sulfate@4-ethylphenylsulfate
[Amino Acid] Guanidino and Acetamido Metabolism	2	1	1061	65	1-methylguanidine
[Amino Acid] Histidine Metabolism	17	3	1061	65	1-methylhistidine@1-ribosyl-imidazoleacetate*@N-acetyl-1-methylhistidine*
[Xenobiotics] Food Component/Plant	72	2	1061	65	N-(2-furoyl)glycine@3-indoleglyoxylic acid
[Lipid] Fatty Acid, Dicarboxylate	29	3	1061	65	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)@hydroxy-CMPF*@3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**
[Amino Acid] Glutamate Metabolism	13	2	1061	65	N-acetylglutamine@alpha-ketoglutaramate*
[Amino Acid] Alanine and Aspartate Metabolism	9	3	1061	65	N-acetylasparagine@N-carbamoylalanine@hydroxyasparagine**
[Cofactors and Vitamins] Hemoglobin and Porphyrin Metabolism	5	1	1061	65	heme
[Nucleotide] Pyrimidine Metabolism, Cytidine containing	5	2	1061	65	3-methylcytidine@2'-O-methylcytidine
[Amino Acid] Lysine Metabolism	20	1	1061	65	glutarylcarnitine (C5-DC)
[Amino Acid] Glycine, Serine and Threonine Metabolism	11	1	1061	65	N-acetylserine
[Lipid] Pregnenolone Steroids	6	1	1061	65	pregnenolone sulfate
[Xenobiotics] Chemical	27	3	1061	65	sulfate*@thioproline@perfluorooctanesulfonate (PFOS)
[Peptide] Dipeptide	7	1	1061	65	leucylglycine
[Lipid] Phosphatidylcholine (PC)	21	2	1061	65	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)@1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*
[Lipid] Corticosteroids	5	1	1061	65	cortolone glucuronide (1)
[Lipid] Fatty Acid, Amino	3	1	1061	65	N-acetyl-2-aminooctanoate*
[Partially Characterized Molecules] Partially Characterized Molecules	28	1	1061	65	carnitine of C10H14O2 (5)*
[Peptide] Modified Peptides	1	1	1061	65	N,N-dimethyl-pro-pro
